clave_articulo,descripcion,inventarios,tipo_documentos,linea,serie,unidad,unidad_empaque,cantidad_almacen,rack,control_almacen,concepto,tipo_documento,documento,clave_cliente_proveedor,clave_vendedor,cantidad,precio,costo,tiempo_surtido,stock_min,stock_max,tipo_costeo,fecha_ultima_compra,pendiente_recibir,fecha_ultima_venta,pendientes_surtir,existencias,costo_promedio,ultimo_costo,tipo_elemento,unidad_salida,factor_entre_unidades,apartados,lote,pedimento,peso,volumen,clave_esuqema,cantidad_ventas_anuales,monto_ventas_anuales,cantidad_compras_anuales,monto_compras_anuales,cuenta_contable,estatus,manejo_ieps,tax_num,cuota_ieps,forma_ieps,clave_sat,clave_unidad,catalogo,id_catalogo,titulo_ml,color,medidas,volts,a,w,marca
REG-T1-1/2,CAJA REGISTRO TIPO T DE 1-1/2,1,M,ACO,N,PZ,,1,10E,1-10E,,,,NMQ050902,,,,,7,0,5,,,,,,,,,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,1/2,,,,CROUSE HINDS
REGISTRO-L2,CAJA DE REGISTRO TIPO L DE 2,1,M,ACO,N,PZ,,1,10E,1-10E,,,,NMQ050902,,,,,7,0,5,,,,,,,,,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,CROUSE HINDS
REGISTROL1-1/4,CAJA REGISTRO TIPO L DE 1-1/4,1,M,ACO,N,PZ,,1,10E,1-10E,,,,NMQ050902,,,,,7,0,5,,,,,,,,,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,GRIS,1/4,,,,RAWELT
REGU-1/4,REGULADOR AIRE MANOMETRO 1/4T,1,M,ACO,N,PZ,,1,19B,1-19B,,,,NMQ050902,,,,,7,1,10,,,,,,,,,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
REGV-GALV,CODO Y CAJA DE REGISTRO GALVAN,1,M,ACO,N,CJ,,1,7B,1-7B,,,,NMQ050902,,,,,1,0,10,,,,,,,,,P,CJ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
REP-CUT-6,NAVAJA PARA CUTTER 6X18X0.5MM,1,M,CON,N,PZ,,1,18D,1-18D,,,,NMQ050902,,,,,7,10,100,,2021/7/2,,,,,22,22,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
REP-JAYSA,REPUESTOS PARA FAJA JYRSA,1,M,ESS,N,CJ,,1,20B,1-20B,,,,GTR150812,,,,,7,0,10,,,,,,,,,P,CJ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
RES-1/4W-SMD,RESISTRENCIA 1/4 W SEPERFICIAL,1,M,REF,N,PZ,,4,1A,4-1A,,,,MAMJ56051,,,,,7,2,20,,2021/6/3,,,,,5.8,5.8,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
RES-1O-1W,RES 1 OHMS 1W,1,M,REF,N,PZ,,4,1A,4-1A,,,,MAMJ56051,,,,,7,2,20,,,,,,,4,4,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
RESI-KOHMS509,RES 10K OHMS 1/4W,1,M,REF,N,PZ,,4,1A,4-1A,,,,MAMJ56051,,,,,7,2,20,,,,,,,1,1,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
